Season,Player,Tm,PER,Tspct,OWS,DWS,WS,WSp48,BPM,VORP
'0405',BenGordon,CHI,14.9,0.526,0.8,2.7,3.5,0.084,-0.6,0.7
'0506',BenGordon,CHI,14.5,0.531,1.8,2.6,4.4,0.086,0.2,1.4
'0607',BenGordon,CHI,18.2,0.572,4.7,3.9,8.6,0.152,1.4,2.4
'0708',BenGordon,CHI,16.4,0.558,3.6,1.4,5.1,0.106,-0.1,1.1
'0809',BenGordon,CHI,17,0.573,5.2,1.7,6.9,0.11,0.6,1.9
'0910',BenGordon,DET,14,0.534,1.8,0.4,2.1,0.059,-2.1,-0.1
'1011',BenGordon,DET,12.4,0.548,1.3,0.3,1.7,0.037,-2.5,-0.3
'1112',BenGordon,DET,13.5,0.549,1,0.7,1.7,0.058,-2.4,-0.1
'1213',BenGordon,CHA,12.7,0.515,-0.4,-0.2,-0.6,-0.018,-5.1,-1.2
'1314',BenGordon,CHA,6.4,0.422,-0.7,0.3,-0.3,-0.058,-6.8,-0.3
'1415',BenGordon,ORL,10.5,0.536,0,0.2,0.1,0.009,-6.3,-0.8
'0405',KirkHinrich,CHI,15.3,0.495,2.5,4.7,7.2,0.124,3.3,3.7
'0506',KirkHinrich,CHI,15.5,0.528,4.1,3.5,7.6,0.124,1.9,2.9
'0607',KirkHinrich,CHI,17,0.559,5.5,4.6,10.1,0.171,2.9,3.5
'0708',KirkHinrich,CHI,13.1,0.501,1.5,2.1,3.6,0.072,-0.8,0.7
'0809',KirkHinrich,CHI,13.9,0.551,1.3,1.3,2.6,0.092,0.4,0.8
'0910',KirkHinrich,CHI,11.6,0.501,1.2,2.8,4,0.077,0,1.2
'1011',KirkHinrich,TOT,12.3,0.543,1.8,1.2,3,0.068,-1.5,0.3
'1112',KirkHinrich,ATL,9.2,0.511,0.4,1.4,1.8,0.069,-1.4,0.2
'1213',KirkHinrich,CHI,10.8,0.493,1,2.1,3.1,0.085,-1.2,0.3
'1314',KirkHinrich,CHI,10.8,0.494,0.4,3.3,3.8,0.085,-0.8,0.6
'1415',KirkHinrich,CHI,6.8,0.459,-0.3,1.1,0.8,0.025,-3,-0.4
'0405',LuolDeng,CHI,14.2,0.496,0.1,2.9,3,0.086,0.6,1.1
'0506',LuolDeng,CHI,15.8,0.517,2.7,3.8,6.5,0.12,0.9,1.9
'0607',LuolDeng,CHI,18.7,0.56,5.7,5.6,11.3,0.176,2.7,3.6
'0708',LuolDeng,CHI,17,0.528,2.4,1.9,4.4,0.098,0.1,1.1
'0809',LuolDeng,CHI,14.7,0.511,1.3,1.6,3,0.085,-0.8,0.5
'0910',LuolDeng,CHI,16.1,0.531,2.5,3.4,5.9,0.106,0.2,1.4
'1011',LuolDeng,CHI,15.5,0.549,4.7,5.2,9.9,0.149,2.2,3.4
'1112',LuolDeng,CHI,14.1,0.5,2.3,3.6,5.8,0.132,2.1,2.2
'1213',LuolDeng,CHI,15.1,0.508,3,3.3,6.3,0.105,1.1,2.2
'1314',LuolDeng,TOT,15.2,0.517,2.2,2.3,4.5,0.098,0.2,1.2
'1415',LuolDeng,MIA,16.2,0.583,3.6,1.3,4.9,0.116,0.9,1.5
'0405',KobeBryant,LAL,23.3,0.563,7.1,1,8.1,0.145,4.6,4.5
'0506',KobeBryant,LAL,28,0.559,11.6,3.7,15.3,0.224,5.8,6.5
'0607',KobeBryant,LAL,26.1,0.58,10.8,2.2,13,0.199,4.7,5.3
'0708',KobeBryant,LAL,24.2,0.576,9.5,4.3,13.8,0.208,5.4,6
'0809',KobeBryant,LAL,24.4,0.561,8.6,4,12.7,0.206,4.5,4.9
'0910',KobeBryant,LAL,21.9,0.545,5.4,4,9.4,0.16,3.6,4
'1011',KobeBryant,LAL,23.9,0.548,6.8,3.5,10.3,0.178,3.8,4.1
'1112',KobeBryant,LAL,21.9,0.527,4.2,2,6.2,0.132,2.3,2.4
'1213',KobeBryant,LAL,23,0.57,8.4,2.6,10.9,0.174,4.7,5.1
'1314',KobeBryant,LAL,10.7,0.505,-0.5,0.1,-0.4,-0.097,-5.9,-0.2
'1415',KobeBryant,LAL,17.7,0.477,-0.4,0.7,0.3,0.012,0.6,0.8
'0809',RussellWestbrook,OKC,15.2,0.489,-0.1,2,1.9,0.035,-0.1,1.3
'0910',RussellWestbrook,OKC,17.8,0.491,2.7,3.4,6.1,0.105,2.1,2.9
'1011',RussellWestbrook,OKC,23.6,0.538,6.3,3.1,9.4,0.159,5,5
'1112',RussellWestbrook,OKC,22.9,0.538,5.5,2.4,7.9,0.163,3.2,3
'1213',RussellWestbrook,OKC,23.9,0.532,7.7,3.9,11.6,0.195,5,5.1
'1314',RussellWestbrook,OKC,24.7,0.545,3,2.3,5.2,0.178,6.4,3
'1415',RussellWestbrook,OKC,29.6,0.54,6.2,2.7,8.9,0.233,11.5,6.2
'0809',DerrickRose,CHI,16,0.516,3.4,1.5,4.9,0.078,-0.6,1.1
'0910',DerrickRose,CHI,18.6,0.532,3.5,2.5,6,0.1,0.5,1.8
'1011',DerrickRose,CHI,23.5,0.55,8.3,4.8,13.1,0.208,5.9,6
'1112',DerrickRose,CHI,23,0.532,4.1,2,6,0.211,4.9,2.4
'1314',DerrickRose,CHI,9.7,0.446,-0.6,0.4,-0.2,-0.036,-5.1,-0.2
'1415',DerrickRose,CHI,16,0.496,0.3,1,1.2,0.042,-1.3,0.3
