Season,Age,Tm,PER,Tspct,OWS,DWS,WS,WSp48,BPM,VORP
2004-05,21,CHI,14.9,0.526,0.8,2.7,3.5,0.084,-0.6,0.7
2005-06,22,CHI,14.5,0.531,1.8,2.6,4.4,0.086,0.2,1.4
2006-07,23,CHI,18.2,0.572,4.7,3.9,8.6,0.152,1.4,2.4
2007-08,24,CHI,16.4,0.558,3.6,1.4,5.1,0.106,-0.1,1.1
2008-09,25,CHI,17,0.573,5.2,1.7,6.9,0.11,0.6,1.9
2009-10,26,DET,14,0.534,1.8,0.4,2.1,0.059,-2.1,-0.1
2010-11,27,DET,12.4,0.548,1.3,0.3,1.7,0.037,-2.5,-0.3
2011-12,28,DET,13.5,0.549,1,0.7,1.7,0.058,-2.4,-0.1
2012-13,29,CHA,12.7,0.515,-0.4,-0.2,-0.6,-0.018,-5.1,-1.2
2013-14,30,CHA,6.4,0.422,-0.7,0.3,-0.3,-0.058,-6.8,-0.3
2014-15,31,ORL,10.5,0.536,0,0.2,0.1,0.009,-6.3,-0.8
